age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
39,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,45,United-States,>50K
48,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,50,India,>50K
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K
55,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K
26,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Black,Female,40,United-States,<=50K
44,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
38,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
63,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
21,Private,Some-college,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K
47,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K
36,Private,Bachelors,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Female,40,Philippines,<=50K
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Black,Male,35,United-States,<=50K
41,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
28,Private,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,40,India,<=50K
60,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K
39,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,38,United-States,<=50K
47,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
22,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K
58,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K
44,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
26,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
50,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
36,Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,40,United-States,<=50K
63,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,35,United-States,<=50K
29,Private,Bachelors,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K
48,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,>50K
23,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
40,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
31,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
48,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,45,United-States,>50K
22,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K
60,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
38,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,40,India,>50K
27,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
44,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,>50K
29,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K
55,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,>50K
23,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,30,United-States,<=50K
41,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,48,United-States,<=50K
36,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
68,Private,9th,Widowed,Other-service,Not-in-family,White,Female,20,United-States,<=50K
30,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
49,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
26,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Female,38,United-States,<=50K
58,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
60,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
23,Private,Some-college,Never-married,Other-service,Own-child,Black,Female,25,United-States,<=50K
39,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,India,>50K
48,State-gov,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K
31,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Wife,White,Female,40,United-States,<=50K
56,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
22,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,Mexico,<=50K
44,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K
37,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,45,Canada,>50K
63,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
29,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
46,Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,>50K
33,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
27,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
50,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,>50K
34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Tech-support,Own-child,Black,Female,38,United-States,<=50K
41,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
23,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,30,United-States,<=50K
58,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
31,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
47,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,50,India,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,Mexico,<=50K
63,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K
39,Private,Some-college,Divorced,Sales,Not-in-family,White,Female,42,United-States,<=50K
44,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
21,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K
56,Local-gov,Masters,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
30,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,40,Philippines,<=50K
37,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Black,Female,40,United-States,<=50K
49,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,United-States,>50K
26,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
60,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
33,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
23,Private,Some-college,Never-married,Other-service,Own-child,Black,Female,25,United-States,<=50K
41,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,60,India,>50K
28,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
61,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,35,United-States,<=50K
39,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
48,Federal-gov,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K
56,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K
22,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,20,Mexico,<=50K
44,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,45,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K
29,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Female,35,United-States,<=50K
58,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
19,Private,10th,Never-married,Handlers-cleaners,Own-child,White,Male,30,United-States,<=50K
46,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
33,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,45,China,>50K
65,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,United-States,>50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
23,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,30,United-States,<=50K
60,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K
39,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,<=50K
48,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
31,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K
55,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K
22,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,40,Mexico,<=50K
46,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
37,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,>50K
29,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
64,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,United-States,>50K
26,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
43,Local-gov,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,>50K
33,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
22,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,25,United-States,<=50K
58,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K
39,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
47,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
31,Private,Some-college,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,40,India,<=50K
63,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K
26,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K
44,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
37,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,United-States,>50K
29,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,Male,40,United-States,<=50K
55,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K
48,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,>50K
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
60,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Tech-support,Own-child,Black,Female,40,United-States,<=50K
41,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
23,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,35,United-States,<=50K
61,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
39,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
47,Private,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
25,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,Mexico,<=50K
58,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
31,Private,Assoc-acdm,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
46,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,>50K
22,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K
37,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,>50K
65,Retired,HS-grad,Widowed,Other-service,Not-in-family,White,Female,20,United-States,<=50K
29,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K
44,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Male,40,United-States,<=50K
50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
33,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,48,United-States,<=50K
26,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,40,Canada,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,45,India,>50K
60,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
22,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,25,United-States,<=50K
38,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K
47,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
31,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,40,Canada,<=50K
56,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
24,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K
39,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
65,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,20,United-States,<=50K
30,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,40,Philippines,<=50K
44,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K
29,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K
50,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
33,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,48,United-States,<=50K
34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Tech-support,Own-child,Black,Female,40,United-States,<=50K
41,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,>50K
23,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,35,Mexico,<=50K
60,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
38,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
47,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,India,>50K
26,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K
55,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
65,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,35,United-States,>50K
22,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K
44,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
39,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,40,Philippines,<=50K
50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
58,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
25,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,35,United-States,<=50K
